ISO3c,Year,election,elect_dem_index,Enph_Schmidt,Volat_A_Cohen,Volat_B_Cohen,Evolat_Cohen,inflation,gini,polpol,purges,Pol_polarization,Jpurges,polity2,Democratic,GDPpc,GDP_growth,GDPpc_growth,Inflation,Gini,GDPpc_lag,GDPpc_growth_lag
PRY,2014,0,0.602,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,5.03,50.7,-0.995,0.244,3.74518911745189,4.11732254505333,9,1,5329.36979696503,5.30123859237025,,5.02882767456758,50.7,5130.45389086939,8.29307648940471
PRY,2014,0,0.602,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,5.03,50.7,-0.995,0.244,3.74518911745189,4.11732254505333,9,1,,,1,,,5329.36979696503,5.30123859237025
PRY,2015,0,0.588,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,3.13,47.6,-0.995,0.982,3.74518911745189,2.76020595807282,9,1,,,1,,,,
PRY,2015,0,0.588,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,3.13,47.6,-0.995,0.982,3.74518911745189,2.76020595807282,9,1,5413.77602061858,2.95715173487106,,3.12900274473924,47.6,,
PRY,2016,0,0.59,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,4.09,47.9,-0.995,0.483,3.74518911745189,3.67782272894447,9,,5570.60534938827,4.26802583314583,,4.08682280577242,47.9,5413.77602061858,2.95715173487106
PRY,2016,0,0.59,2.3564065,0.125499993562698,0.142999991774559,0.26849997043609602,4.09,47.9,-0.995,0.483,3.74518911745189,3.67782272894447,9,,,,1,,,5570.60534938827,4.26802583314583
PRY,2017,0,0.593,,0.125499993562698,0.142999991774559,0.26849997043609602,3.6,48.5,-0.874,0.157,3.90577305905773,4.27730783376241,9,,,,1,,,,
PRY,2017,0,0.593,,0.125499993562698,0.142999991774559,0.26849997043609602,3.6,48.5,-0.874,0.157,3.90577305905773,4.27730783376241,9,,5762.7326449502,4.81007885554041,,3.60247741348939,48.5,,
PRY,2018,1,0.585,,,,NA,3.98,46,-0.937,0.157,3.82216323822163,4.27730783376241,9,,,,1,,,5762.7326449502,4.81007885554041
PRY,2018,1,0.585,,,,NA,3.98,46,-0.937,0.157,3.82216323822163,4.27730783376241,9,,5871.28131096779,3.20425034076639,,3.97561015740691,46,,
PRY,2019,0,0.59,,,,NA,2.76,45.7,-0.999,0.487,3.73988055739881,3.67046708348658,,,,,1,,,5871.28131096779,3.20425034076639
PRY,2019,0,0.59,,,,NA,2.76,45.7,-0.999,0.487,3.73988055739881,3.67046708348658,,,5774.16616003464,-0.40185510068001,,2.7570972756279,45.7,,
PRY,2020,,,,,,,,,-0.752,1.043,4.06768414067684,2.64803236484002,,,,,1,,,5774.16616003464,-0.40185510068001
PRY,2020,,,,,,,,,-0.752,1.043,4.06768414067684,2.64803236484002,,,5656.26120150786,-0.819785390950798,,1.7675159235669,43.5,,
PRY,2021,,,,,,,,,-0.564,1.043,4.31718646317187,2.64803236484002,,,5822.70364708513,4.19988166614141,,4.78798310123612,,5656.26120150786,-0.819785390950798
SLV,1990,,,,,,,,,2.782,0.496,8.75779694757797,3.65391688120633,6,1,2406.0482606583,4.83290057793786,,23.9991651130861,,5822.70364708513,4.19988166614141
SLV,1991,,,,,,,,,2.782,0.496,8.75779694757797,3.65391688120633,7,1,2409.03140237871,1.49408756791307,,14.4026748806266,54,2406.0482606583,4.83290057793786
SLV,1992,,0.272,3.010239,0.123500004410744,0.0625,0.18600000441074399,11.21,,2.782,0.691,8.75779694757797,3.29532916513424,7,1,2542.90320356931,7.02196331575217,,11.2144813801986,,2409.03140237871,1.49408756791307
SLV,1993,,0.378,3.010239,0.123500004410744,0.0625,0.18600000441074399,18.51,,1.031,0.691,6.43397478433975,3.29532916513424,7,1,2654.51628138212,5.81831555719015,,18.5066883302714,,2542.90320356931,7.02196331575217
SLV,1994,1,0.465,3.0625002,0.144500002264977,0.118500001728535,0.26300001144409202,10.59,,1.031,0.996,6.43397478433975,2.73446119897021,7,1,2743.37310152697,4.6920617266787,,10.5858066526451,,2654.51628138212,5.81831555719015
SLV,1995,0,0.486,3.0625002,0.144500002264977,0.118500001728535,0.26300001144409202,10.03,49.9,1.031,0.996,6.43397478433975,2.73446119897021,7,1,2839.20524720509,4.73408140229732,,10.0296564501018,49.9,2743.37310152697,4.6920617266787
SLV,1996,0,0.488,3.0625002,0.144500002264977,0.118500001728535,0.26300001144409202,9.79,51,1.031,0.996,6.43397478433975,2.73446119897021,7,1,2831.38760470788,0.811461899328009,,9.78892040179968,51,2839.20524720509,4.73408140229732
SLV,1997,1,0.491,4.1263156,0.0490000024437904,0.173500001430511,0.22249999642372101,4.49,,1.031,0.996,6.43397478433975,2.73446119897021,7,1,2891.6014444084,3.13797006665828,,4.490136278552,,2831.38760470788,0.811461899328009
SLV,1998,0,0.491,4.1263156,0.0490000024437904,0.173500001430511,0.22249999642372101,2.55,54.5,1.031,0.996,6.43397478433975,2.73446119897021,7,1,2941.94044556596,2.65227730016461,,2.54705977554154,54.5,2891.6014444084,3.13797006665828
SLV,1999,0,0.504,4.1263156,0.0490000024437904,0.173500001430511,0.22249999642372101,0.51,52.2,1.031,0.996,6.43397478433975,2.73446119897021,7,1,2981.34172908626,2.16203373722973,,0.514827130192974,52.2,2941.94044556596,2.65227730016461
