A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
972;G019;1;2;14;2020;136.642.050.352.914;1;4;1;12;2;1982;10;10;10002;2;1;2;2;2;4;2;2;2;2;4;2;4;2;4;4;2;4;4;2;2;3;2;4;2;5;1;10;110;;990;404;1;2;10;10;10;5;5;5;5;8;3;5;6;5;9;4;8;5;9;7;4;2;3;3;2;2;1;30;;30;99;1;2;1;2;2;2;;;;;1;36;1;36;1;16;1;2;1;0;2;9;998;;9;1;3;;7;;;1;121;;5;1;1;5;2;1;1;3;4;4;3
973;G011;2;2;14;2020;0.832052522295433;1;4;2;21;11;1968;10;10;10002;2;2;4;2;2;4;3;4;1;2;3;4;2;2;4;2;2;2;2;2;4;2;11;2;4;2;2;30;398;;997;;1;1;30;30;30;4;4;8;4;5;97;97;97;6;5;0;0;5;5;0;3;11;2;3;2;2;2;11;;30;99;1;1;2;2;;;;;3;3;2;52;1;52;1;31;3;2;1;2000;2;9;998;;9;4;3;;;;;1;121;;1;2;1;5;3;2;1;4;4;4;3
974;G013;2;2;14;2020;0.894882409322849;1;4;2;15;2;1995;10;10;10002;3;3;4;2;2;4;2;2;2;3;2;2;4;2;3;2;1;5;2;1;2;2;98;2;4;2;2;20;298;;998;;2;97;97;97;91;5;5;5;0;3;10;9;5;0;0;10;9;0;0;0;1;96;9;;1;2;1;30;;30;99;2;2;1;2;3;1;;;;;1;51;1;51;1;26;4;1;97;0;1;1;1;;1;1;3;;7;;;1;121;;2;2;2;5;4;2;2;6;3;4;3
975;G021;1;2;14;2020;116.672.730.975.602;1;4;1;3;12;1985;21;21;21321;3;4;2;2;2;4;4;2;2;2;4;4;1;4;5;5;2;2;2;2;1;2;4;3;3;8;4;74;740;;998;;2;1;30;30;30;2;2;5;5;5;7;8;5;6;6;7;9;5;5;7;2;4;2;2;2;2;2;10;;10;99;2;1;2;2;1;1;;;;;1;51;1;51;1;25;1;2;6;0;1;1;1;;5;4;4;;3;;;1;121;;5;2;2;5;4;2;1;6;3;4;3
976;G026;2;2;14;2020;0.832052522295433;1;4;2;19;3;1949;10;10;10002;2;2;2;2;4;4;4;2;2;2;2;4;2;4;4;4;4;4;2;3;2;2;1;1;2;2;8;30;350;;990;609;2;2;30;30;30;2;5;0;0;8;5;10;4;10;8;0;2;10;7;5;2;1;1;3;2;2;2;10;;20;99;2;1;2;1;;;;;3;3;1;14;1;55;;26;3;2;2;9999998;1;2;998;;9;1;4;;7;;;1;121;;1;4;1;5;4;2;2;5;3;4;3
977;G019;1;2;14;2020;136.642.050.352.914;1;4;1;5;8;1979;11;11;11900;2;3;2;2;4;4;4;2;4;4;4;4;4;4;4;2;2;4;2;2;2;1;1;1;3;2;4;30;360;;990;ANDREDE COSSE MUNIZ;3;2;30;30;30;4;4;2;4;10;10;10;10;9;0;0;0;8;0;0;2;1;2;4;2;2;3;30;;30;99;1;1;2;2;;;2;4;;;2;80;1;80;1;25;1;2;5;0;3;9;998;;9;5;3;;7;;;1;121;;3;3;4;3;4;2;1;8;2;2;1
978;G023;1;2;14;2020;136.642.050.352.914;1;4;1;5;5;1975;22;22;22423;2;2;2;2;2;4;4;2;2;4;4;4;2;4;5;3;1;5;2;2;2;2;1;1;2;1;2;30;350;;990;609;2;2;30;30;30;4;5;3;0;9;8;10;8;10;3;5;0;8;3;5;2;1;1;4;1;2;2;30;;20;30;2;1;2;2;;;;;1;1;1;80;1;80;1;23;1;2;6;0;1;2;998;;9;4;3;;4;;;1;121;;2;3;4;3;3;2;1;7;2;2;1
979;G011;2;2;14;2020;0.894882409322849;1;4;2;1;3;1990;18;18;18001;2;1;2;1;4;4;2;4;2;4;4;4;4;4;4;2;2;4;4;1;1;2;1;1;3;1;3;30;398;;990;LIMA;1;2;30;30;30;5;4;3;2;9;10;10;5;8;3;2;1;8;5;5;2;1;2;4;1;2;2;20;;20;99;2;1;2;2;2;3;;;;;2;22;2;22;8;64;4;1;5;0;1;1;1;;2;2;3;;4;;;1;121;;4;1;5;2;6;3;3;11;1;1;1
980;G025;2;2;14;2020;108.481.113.361.927;1;4;1;25;12;1953;10;10;10002;1;1;1;1;5;2;5;5;4;5;4;5;1;5;5;1;2;5;2;4;2;2;7;7;4;2;2;40;400;;990;909;1;2;10;40;10;4;4;5;4;7;7;9;5;4;3;4;0;4;4;4;2;7;1;4;2;2;2;20;;20;99;1;2;2;2;9;2;;;;;2;20;1;20;1;57;1;2;7;0;1;1;990;AGNOSTICO;1;5;3;;7;;;1;121;;2;1;6;1;6;3;3;12;1;1;1
981;G011;2;2;14;2020;0.832052522295433;1;4;2;26;1;1953;11;11;11900;4;2;3;2;1;5;1;2;2;1;2;4;4;2;1;4;2;4;2;1;2;1;1;97;4;2;2;30;340;;997;;1;2;30;30;30;1;4;6;2;10;10;10;10;10;0;0;0;7;0;0;2;1;1;6;2;2;1;20;;20;99;2;1;1;1;;;4;9;;;1;14;1;55;;26;3;2;3;0;1;1;990;NUEVA APOSTÓLICA;4;2;3;;;;;1;121;;2;4;1;5;4;2;2;5;3;4;3
982;G025;2;2;14;2020;0.894882409322849;1;4;2;26;5;1998;12;12;12522;2;2;2;1;2;2;2;2;4;4;2;4;2;4;4;2;2;2;2;2;1;2;2;2;2;2;2;10;120;;990;LARRAÑAGA;2;2;10;90;90;4;5;7;1;10;8;6;6;5;9;7;4;2;9;7;2;2;2;1;2;2;2;10;;10;99;2;2;2;1;3;2;;;;;2;11;2;36;;53;4;2;4;0;1;2;998;;9;4;7;;;;;1;121;;5;4;1;5;5;3;2;6;3;4;3
983;G015;2;2;14;2020;104.804.752.757.694;1;4;2;3;10;1982;12;12;12522;4;3;4;2;2;4;3;4;3;3;3;2;3;3;4;2;2;4;2;3;2;3;4;3;4;2;1;30;360;;998;;3;2;30;30;30;2;2;5;5;2;2;5;2;10;0;0;10;10;0;0;3;1;3;2;1;2;2;30;;20;99;1;2;2;2;2;2;;;;;3;52;1;52;1;16;4;2;4;0;1;1;990;UMBANDA;3;2;3;;7;;;1;121;;1;2;1;5;2;1;1;3;4;4;3
984;G019;1;2;14;2020;104.804.752.757.694;1;4;2;11;11;1980;12;12;12522;3;4;3;2;2;4;3;2;2;2;4;2;2;2;3;2;2;2;4;2;2;2;1;2;2;2;2;30;398;;998;;2;1;30;30;30;2;5;7;3;8;5;8;8;8;7;5;3;6;6;5;2;1;2;4;2;2;4;20;;20;99;2;2;1;1;;;;;2;2;1;55;2;52;2;23;1;2;3;0;1;2;998;;9;4;3;;7;;;1;121;;4;2;1;5;3;2;1;4;4;4;3
985;G021;1;2;14;2020;0.832052522295433;1;4;2;13;1;1972;27;27;27001;3;3;3;2;2;4;2;2;8;8;2;8;4;3;3;3;2;2;4;3;5;3;2;2;4;5;3;74;740;;998;;2;1;10;95;95;4;4;6;3;9;6;10;4;0;9;6;10;3;10;6;2;2;3;1;2;2;3;99;;99;20;2;1;2;2;;;9;9;;;2;72;2;51;1;16;1;2;4;0;1;2;998;;9;4;3;;1;;;1;121;;4;3;2;5;2;1;1;4;4;4;3
986;G026;2;2;14;2020;104.804.752.757.694;1;4;2;22;6;1984;22;22;22423;2;1;2;1;4;4;2;4;2;2;2;2;4;2;4;2;1;4;2;3;1;2;2;2;4;2;2;10;120;;998;;2;1;10;10;30;4;5;10;0;10;10;0;0;0;10;10;0;5;10;8;1;2;2;1;2;2;2;20;;20;99;1;1;2;2;1;2;;;;;1;46;1;46;1;26;4;2;3;9999998;1;1;990;APOSTOLICA CATOLICA ROMANA;4;1;3;;7;;;1;121;;2;2;3;4;4;2;2;7;2;2;1
987;G015;2;2;14;2020;0.832052522295433;1;4;2;4;11;1947;18;18;18001;1;2;2;2;3;2;4;2;2;4;2;2;4;2;2;4;4;2;5;3;2;1;3;3;8;1;2;20;230;;990;600;98;1;10;20;10;4;8;10;97;10;10;9;9;0;10;10;9;0;9;10;2;3;1;1;2;2;4;20;;20;99;1;1;2;1;;;;;4;2;1;14;1;70;;21;2;2;1;0;1;1;990;IGLESIA CATOLICA APOSTOLICO ROMANA;4;5;4;;7;;;1;121;;1;4;2;2;3;2;1;5;3;4;3
988;G019;1;2;14;2020;108.481.113.361.927;1;4;1;13;10;1957;12;12;12522;2;3;3;2;2;2;4;4;4;4;2;2;4;2;2;2;4;4;4;1;2;2;2;2;4;5;2;10;112;;990;71;2;1;10;10;10;2;4;5;4;5;8;5;5;0;6;2;1;0;6;3;3;2;2;1;2;2;2;10;;10;99;2;2;2;2;;;4;4;;;1;81;1;81;1;24;1;2;5;0;2;9;998;;9;4;3;;7;;;1;121;;4;3;5;2;4;2;1;9;2;2;1
989;G023;1;2;14;2020;108.481.113.361.927;1;4;1;5;5;1935;15;15;15999;3;2;2;2;3;2;4;1;2;8;2;1;8;2;2;2;5;3;5;3;1;2;2;2;4;2;2;10;120;;990;2004;2;1;10;10;10;2;4;8;3;6;98;8;98;5;10;8;8;5;10;5;1;2;1;98;2;2;3;10;;10;10;1;2;2;2;;;4;4;;;2;80;1;80;1;31;2;2;2;0;2;9;998;;9;2;3;;4;;;1;121;;1;3;4;3;3;2;1;7;2;2;1
990;G015;2;2;14;2020;0.894882409322849;1;4;2;22;9;1992;13;13;13001;2;2;2;2;2;4;4;4;2;2;4;4;2;4;4;2;2;4;2;3;2;1;1;1;2;1;4;30;350;;990;609;2;2;30;30;30;4;4;3;2;10;9;8;6;9;6;3;1;9;1;3;3;1;2;3;2;2;2;30;;30;99;2;2;2;2;;;2;3;;;2;45;2;45;1;26;1;2;97;9999998;1;2;998;;9;4;3;;7;;;1;121;;2;2;5;2;4;2;2;9;2;2;1
991;G019;1;2;14;2020;108.481.113.361.927;1;4;1;0;0;1956;10;10;10002;4;3;3;1;4;4;4;4;3;4;4;3;2;2;4;4;4;5;5;3;2;2;97;2;4;1;5;10;198;;990;GLORIA SILVA;2;1;10;30;30;4;5;5;1;5;6;7;0;3;5;5;1;6;7;5;1;2;2;7;2;2;1;11;;20;99;9;2;2;9;;;;;1;1;1;14;1;26;;26;1;2;3;0;3;9;998;;9;5;3;;7;;;1;121;;2;4;3;4;4;2;2;7;2;2;1
992;G015;2;2;14;2020;104.804.752.757.694;1;4;2;29;1;1981;10;10;10002;2;3;2;2;2;2;4;4;2;4;2;4;4;2;4;2;5;1;5;2;2;4;2;2;4;4;2;10;120;;990;2004;3;1;10;20;10;4;4;9;2;9;8;8;5;0;10;9;9;1;10;9;3;2;2;1;1;2;2;20;;20;20;2;2;2;2;;;2;2;;;2;22;1;22;1;64;3;2;5;0;1;1;1;;5;2;3;;7;;;1;121;;3;1;5;2;6;3;3;11;1;1;1
993;G015;2;2;14;2020;104.804.752.757.694;1;4;2;13;3;1982;27;27;27001;2;2;3;4;4;2;2;4;4;2;2;2;3;2;2;4;2;2;5;1;2;3;11;98;5;5;5;30;397;673;990;673;2;1;10;20;30;4;4;8;9;8;9;7;6;9;0;9;0;0;0;0;4;2;2;4;2;2;2;20;;20;99;1;2;2;1;;;;;3;2;2;32;2;32;8;16;1;2;2;0;1;2;998;;9;2;8;;7;;;1;121;;5;1;1;5;2;1;1;3;4;4;3
994;G017;2;2;15;2020;0.832052522295433;1;4;2;8;9;1965;10;10;10023;3;4;3;4;4;4;1;2;2;2;2;2;4;2;8;5;5;1;4;2;1;1;1;1;2;4;5;96;999;;996;;96;96;30;30;30;5;4;0;0;10;0;10;0;5;0;8;0;10;0;7;4;1;1;2;2;2;1;20;;20;99;1;2;2;2;;;2;1;;;2;55;1;55;1;16;3;2;2;0;1;2;998;;9;4;3;;;;;1;121;;3;2;1;5;2;1;1;3;4;4;3
995;G017;2;2;15;2020;108.481.113.361.927;1;4;1;1;1;1953;21;21;21321;2;2;3;2;8;4;4;4;1;3;4;4;2;2;8;4;4;3;4;8;2;3;1;98;2;1;8;98;999;;997;;3;1;97;97;97;4;4;3;5;98;98;98;98;8;4;6;98;5;98;6;2;1;2;7;1;2;1;10;;10;99;1;1;2;1;;;;;9;9;9;16;1;16;3;33;4;2;1;0;1;1;990;EVANGELICO;2;1;4;;7;;;1;121;;1;4;0;5;3;2;1;3;4;4;3
996;G027;2;2;15;2020;104.804.752.757.694;1;4;2;10;4;1984;23;23;23900;1;2;3;4;4;4;2;2;2;4;4;2;4;4;4;4;2;2;2;1;2;1;1;1;5;5;5;30;350;;998;;2;2;95;30;30;5;5;0;0;10;10;8;5;10;0;0;0;10;0;0;4;1;1;3;1;2;1;30;;30;30;1;1;2;1;2;2;;;;;2;10;2;51;;22;4;2;1;0;1;1;990;EVANGELICA;1;2;3;;;;;1;121;;4;4;2;5;3;2;1;5;3;4;3
997;G029;2;2;15;2020;116.672.730.975.602;1;4;1;2;10;1996;27;27;27522;2;1;2;2;4;2;4;2;4;4;2;4;4;2;2;5;5;2;5;1;4;3;2;4;4;3;2;74;740;;990;LISTA UNICA ;2;1;10;90;90;7;1;10;5;7;97;9;3;0;4;0;7;0;10;0;2;2;2;3;2;2;2;10;;10;10;2;1;1;2;;;;;1;1;2;76;1;76;7;16;4;2;3;0;1;2;998;;9;2;1;;;;;1;121;;1;3;0;6;2;1;1;2;4;4;3
998;G017;2;2;15;2020;0.832052522295433;1;4;2;1;1;1961;10;10;10027;1;1;2;1;1;4;1;1;1;1;8;1;4;1;1;2;2;2;4;1;2;3;97;97;4;5;3;98;999;;997;;2;97;97;97;97;5;5;98;0;10;10;10;10;2;0;1;0;0;0;0;4;96;9;;8;2;2;20;;20;99;1;1;2;1;2;3;;;;;2;46;1;46;1;52;3;2;3;0;2;9;998;;9;5;1;;7;;;1;121;;4;2;3;4;5;3;2;8;2;2;1
999;G027;2;2;15;2020;0.894882409322849;1;4;2;1;3;1990;26;26;26421;3;2;4;2;2;4;2;2;2;2;4;2;2;4;4;4;2;4;4;1;2;8;4;4;3;2;8;74;740;;998;;3;1;10;30;30;2;4;98;0;5;98;6;5;0;5;0;10;0;5;3;4;4;2;1;2;2;3;30;;30;30;2;1;1;2;;;2;2;;;3;72;2;36;7;22;1;2;3;0;1;2;998;;9;4;3;;;;;1;121;;4;3;1;5;3;2;1;4;4;4;3
1000;G029;2;2;15;2020;0.832052522295433;1;4;2;28;8;1964;10;10;10027;1;1;2;2;4;2;4;4;2;4;4;4;4;2;4;2;1;4;4;4;1;2;1;1;2;1;4;30;301;;998;;1;2;30;30;30;5;4;3;1;8;7;9;7;9;5;5;1;9;4;5;3;1;2;4;1;2;2;30;;30;30;1;2;2;2;2;2;;;;;2;26;1;26;1;56;3;1;4;0;1;1;1;;5;9;3;;;;;1;121;;1;1;3;4;6;3;3;9;2;2;1
1001;G017;2;2;15;2020;108.481.113.361.927;1;4;1;8;8;1960;17;17;17001;3;3;4;1;2;3;2;2;2;2;4;4;4;2;4;4;4;2;4;2;1;2;97;2;2;2;8;30;370;;998;;3;1;30;30;30;2;5;7;7;5;4;0;5;7;5;5;0;5;5;5;2;1;2;97;2;2;3;10;;20;99;1;1;2;1;;;;;1;1;1;51;1;51;1;24;1;2;2;0;1;1;990;EVANGELICA;3;4;3;;7;;;1;121;;5;2;2;5;4;2;1;6;3;4;3
1002;G017;2;2;15;2020;108.481.113.361.927;1;4;1;11;5;1964;10;10;10027;1;1;2;1;2;4;4;4;2;4;4;4;2;3;4;1;1;2;2;3;3;3;3;2;4;2;2;20;230;;990;PASQUET 11600;2;1;10;10;96;5;4;5;7;7;6;10;5;6;7;8;2;2;8;10;2;3;2;4;8;2;3;99;;99;99;2;2;9;2;1;1;;;;;3;50;1;50;1;57;1;2;7;0;3;9;998;;9;5;3;;;;;1;121;;4;2;3;5;6;3;3;9;2;2;1
1003;G029;2;2;15;2020;136.642.050.352.914;1;4;1;6;1;1979;22;22;22522;1;1;1;1;4;2;4;4;4;2;2;3;3;2;4;5;1;4;2;2;1;3;2;2;4;5;3;10;111;;990;40;1;1;10;10;10;2;4;4;5;5;7;7;5;3;10;1;1;5;8;4;2;2;1;4;2;2;2;10;;10;10;2;1;1;2;;;1;2;;;2;47;1;47;1;26;4;2;2;0;1;1;1;;5;1;3;;;;;1;121;;1;2;3;4;4;2;2;7;2;2;1
1004;G027;2;2;15;2020;108.481.113.361.927;1;4;1;1;1;1960;11;11;11322;1;4;4;4;2;4;2;2;2;2;4;4;4;4;4;2;2;4;4;2;2;3;98;1;3;2;4;30;350;;998;;3;2;30;30;30;2;1;0;1;10;97;9;0;9;1;6;4;7;0;1;4;96;9;;2;2;2;20;;20;20;2;1;2;2;2;2;;;;;1;36;2;36;8;36;3;2;4;0;1;2;998;;9;2;1;;3;;;1;121;;6;1;1;5;4;2;2;5;3;4;3
1005;G027;2;2;15;2020;0.832052522295433;1;4;2;1;1;1974;16;16;16001;3;2;2;2;2;4;3;4;2;2;2;4;4;8;2;5;3;2;5;1;8;4;2;4;5;5;3;10;120;;998;;1;1;10;10;10;5;2;10;0;10;10;10;98;0;10;10;10;7;7;6;3;4;2;1;8;2;1;20;;11;99;2;1;9;2;;;;;9;2;9;70;2;52;1;23;1;2;2;0;1;1;1;;1;4;1;;3;4;;1;121;;3;3;1;5;3;2;1;4;4;4;3
1006;G029;2;2;15;2020;104.804.752.757.694;1;4;2;29;9;1975;10;10;10027;4;4;5;4;5;4;2;2;2;1;2;2;2;4;4;4;2;4;4;1;2;2;6;6;1;2;2;80;800;;998;;2;1;96;40;96;1;1;5;0;10;3;98;6;0;0;0;0;0;3;98;4;96;9;;2;2;1;10;;10;10;2;1;2;2;;;;;2;2;1;52;1;52;1;32;4;1;1;0;1;2;998;;9;5;1;;;;;1;121;;3;2;1;5;3;2;1;4;4;4;3
1007;G021;1;2;15;2020;108.481.113.361.927;1;4;1;14;5;1967;10;10;10027;2;1;2;2;4;4;4;4;2;4;4;4;2;2;4;2;2;2;2;4;1;2;1;1;2;1;4;30;301;;990;2121;1;2;30;30;30;5;5;2;2;8;8;10;8;9;3;0;0;8;2;4;1;1;1;4;2;2;3;30;;10;99;1;2;2;2;;;2;2;;;2;66;1;66;1;56;1;2;7;0;3;9;998;;9;5;3;;7;;;1;121;;3;3;6;1;6;3;3;12;1;1;1
1008;G012;1;2;15;2020;116.672.730.975.602;1;4;1;1;1;1995;11;11;11322;4;2;4;1;4;2;2;4;2;2;4;2;4;2;2;4;4;4;2;2;5;3;1;98;5;2;5;91;999;;991;;91;91;91;91;91;1;1;7;7;3;6;1;2;10;0;0;0;0;0;0;4;1;2;2;2;2;2;30;;30;99;2;1;2;1;;;;;4;4;4;52;2;52;1;21;4;2;1;0;1;2;998;;9;2;1;;7;;;1;121;;4;2;1;5;3;2;1;4;4;4;3
1009;G026;2;2;15;2020;0.832052522295433;1;4;2;14;7;1961;10;10;10027;2;3;2;5;2;2;4;4;1;2;2;4;4;2;4;5;5;2;5;4;2;1;2;2;4;1;2;10;110;;990;404;2;2;10;10;10;4;2;9;6;10;8;98;7;7;9;6;0;7;9;5;1;2;2;3;2;2;2;99;;99;99;2;2;2;2;2;3;;;;;1;55;1;55;1;22;3;2;2;0;1;1;990;EVANGELICA ;4;1;3;;7;;;1;121;;1;2;1;5;3;2;1;4;4;4;3
1010;G021;1;2;15;2020;104.804.752.757.694;1;4;2;27;11;1975;12;12;12001;1;2;3;3;2;4;2;2;3;1;5;5;4;1;3;4;4;5;4;2;2;3;3;97;5;5;8;20;210;;998;;3;1;10;20;10;4;4;8;0;5;10;3;1;0;7;10;3;0;7;4;3;3;2;1;2;2;3;10;;10;10;1;2;2;1;;;1;1;;;2;10;2;32;;16;1;2;2;0;1;1;1;;1;9;3;;1;4;;1;121;;5;4;1;5;2;1;1;3;4;4;3
1011;G015;2;2;15;2020;0.832052522295433;1;4;2;13;1;1958;10;10;10027;1;1;2;2;4;4;4;4;2;5;4;4;4;4;4;5;8;2;5;2;2;1;1;1;3;1;4;30;310;;990;0,9;3;2;30;30;30;4;4;4;9;0;1;97;8;9;0;0;0;10;0;0;2;1;2;2;2;2;2;20;;20;99;2;1;2;1;2;2;;;;;2;51;2;70;2;21;1;2;1;0;1;2;998;;9;1;4;;7;;;1;121;;2;2;2;2;3;2;1;5;3;4;3
1012;G012;1;2;15;2020;0.832052522295433;1;4;2;16;9;1974;23;23;23900;4;4;4;2;2;4;2;4;3;2;2;2;4;2;2;5;4;5;4;1;1;3;98;98;4;5;5;91;999;;991;;91;91;91;91;91;1;5;5;1;9;9;98;8;0;0;0;0;0;0;0;3;96;9;;2;2;1;20;;20;99;1;1;2;2;;;;;4;4;1;13;2;51;;23;1;2;5;2000;1;1;990;CRISTIANA;5;1;1;;7;;;1;121;;5;4;2;5;3;2;1;5;3;4;3
1013;G019;1;2;15;2020;108.481.113.361.927;1;4;1;20;4;1968;10;10;10027;2;2;2;2;2;4;4;4;1;4;4;4;4;2;2;2;2;4;2;3;4;3;1;97;2;1;2;30;310;;990;90;2;1;30;30;30;5;5;1;0;6;10;10;10;10;6;0;0;8;6;3;1;1;1;4;2;2;3;20;;11;99;2;2;2;1;;;2;2;;;1;80;1;80;1;37;1;2;5;0;1;2;998;;9;4;3;;7;;;1;121;;3;3;4;3;5;3;2;9;2;2;1
1014;G012;1;2;15;2020;104.804.752.757.694;1;4;2;1;1;1981;17;17;17001;2;2;2;2;4;4;2;2;2;2;2;2;2;2;2;5;2;2;4;2;1;2;2;2;4;2;2;10;120;;998;;3;1;10;30;30;2;5;6;4;8;8;6;98;8;9;6;7;8;9;6;2;2;2;3;1;2;1;20;;20;99;1;1;2;1;;;2;3;;;2;13;2;76;;24;1;2;3;0;1;2;998;;9;2;1;;7;;;1;121;;3;4;0;6;4;2;1;4;4;4;3
1015;G021;1;2;15;2020;0.894882409322849;1;4;2;30;10;1993;18;18;18001;2;3;2;2;2;4;2;4;4;2;4;4;4;4;4;1;1;4;2;2;2;2;4;4;4;4;2;74;740;;990;ALBERNAZ;2;1;10;91;10;5;4;7;1;7;6;8;5;3;7;2;8;3;7;3;1;4;2;1;1;2;2;20;;20;99;2;1;2;2;;;;;3;2;2;52;2;36;1;62;4;2;6;0;1;2;998;;9;4;4;;1;;;1;121;;6;2;1;5;5;3;2;6;3;4;3
1016;G026;2;2;15;2020;108.481.113.361.927;1;4;1;1;1;1973;10;10;10027;1;1;1;1;4;2;5;5;2;4;5;5;2;2;5;1;1;5;1;4;1;1;1;1;2;1;5;30;360;;990;1001;1;2;30;30;30;5;5;0;0;10;10;10;9;10;0;1;0;9;0;0;2;1;1;4;2;2;2;30;;30;99;1;1;2;1;;;;;4;4;4;66;1;66;1;56;1;1;6;0;3;9;998;;9;5;4;;7;;;1;121;;4;3;6;1;6;3;3;12;1;1;1
1017;G019;1;2;15;2020;104.804.752.757.694;1;4;2;9;3;1979;10;10;10027;2;2;4;2;2;4;2;2;2;2;2;2;4;2;4;4;2;4;2;3;4;1;1;1;3;2;2;30;350;;990;609;2;97;30;30;30;1;1;5;5;3;97;97;97;5;2;1;0;5;1;1;3;96;9;;2;2;3;10;;20;99;2;2;2;2;;;3;2;;;1;55;1;55;1;24;4;2;2;0;1;2;998;;9;4;1;;7;;;1;121;;5;2;1;5;4;2;1;5;3;4;3
1018;G025;2;2;15;2020;108.481.113.361.927;1;4;1;10;6;1956;10;10;10027;2;3;2;2;3;2;4;2;2;2;2;2;4;2;2;2;2;1;4;4;2;1;6;2;5;5;2;10;198;;998;;1;1;10;20;10;2;4;10;5;10;10;7;8;0;10;8;0;0;10;10;3;2;2;1;2;2;3;20;;20;99;2;1;1;1;2;2;;;;;4;76;1;76;1;99;1;2;1;0;1;2;998;;9;5;7;;;;;1;97;;3;3;0;6;0;1;1;0;4;4;3
1019;G028;2;2;15;2020;116.672.730.975.602;1;4;1;8;8;1988;10;10;10027;1;3;4;2;1;5;2;2;2;2;2;2;2;4;4;4;4;2;4;1;2;1;1;2;2;1;4;30;350;;990;609;1;2;30;30;30;5;5;5;0;6;7;10;1;10;6;3;0;7;5;2;4;1;1;2;2;2;2;30;;30;99;1;1;1;2;2;2;;;;;1;52;1;52;1;16;4;2;3;1500;1;1;990;EVANGELICO;1;1;1;;3;;;1;121;;4;2;1;5;2;1;1;3;4;4;3
1020;G027;2;2;15;2020;108.481.113.361.927;1;4;1;4;6;1967;11;11;11322;2;2;2;2;2;2;4;2;4;3;2;2;3;2;4;3;2;4;2;1;2;8;1;98;3;4;2;30;350;;990;609;2;2;30;30;30;2;5;5;2;5;10;10;10;10;3;0;0;10;4;0;1;1;1;3;1;2;2;11;;30;99;2;1;2;1;;;;;2;9;2;56;1;56;1;16;1;2;4;0;1;2;998;;9;4;3;;;;;1;121;;6;2;1;5;2;1;1;3;4;4;3
1021;G013;2;2;15;2020;0.832052522295433;1;4;2;14;8;1964;10;10;10027;2;3;4;4;2;4;2;2;4;4;2;4;4;4;4;2;2;4;4;1;4;4;3;2;5;2;5;10;110;;998;;3;1;10;20;10;4;5;5;3;7;6;6;4;3;9;8;8;1;8;8;4;2;2;1;2;2;4;20;;20;99;2;2;1;2;3;3;;;;;2;47;2;41;1;26;1;1;98;5000;1;1;990;ANGLICANA;1;5;3;;7;;;1;121;;4;2;6;1;4;2;2;10;1;1;1
1022;G012;1;2;15;2020;104.804.752.757.694;1;4;2;1;1;1983;10;10;10027;2;2;2;2;4;4;4;4;3;2;4;5;8;2;4;1;1;4;2;1;2;1;1;1;2;1;4;30;360;;990;1001;1;2;30;30;30;5;5;3;5;10;10;10;8;9;0;0;0;7;0;0;2;1;2;4;1;2;2;30;;30;99;1;1;2;2;;;2;2;;;2;55;1;55;2;51;3;2;2;0;3;9;998;;9;5;3;;7;;;1;121;;2;2;1;5;5;3;2;6;3;4;3
1023;G027;2;2;15;2020;0.894882409322849;1;4;2;6;10;1993;16;16;16001;1;2;4;2;2;4;2;2;2;2;4;4;4;2;2;4;2;2;4;1;1;1;1;1;4;8;2;30;398;;998;;2;2;30;30;30;4;5;3;2;10;4;2;8;10;0;5;7;10;0;4;2;1;2;2;1;2;1;20;;20;11;2;1;1;1;2;9;;;;;1;47;1;47;1;21;4;2;2;0;1;1;990;EVANGELICA;3;4;4;;;;;1;121;;3;2;3;4;3;2;1;6;3;4;3
1024;G020;2;2;15;2020;104.804.752.757.694;1;4;2;12;12;1983;18;18;18001;4;3;4;4;2;4;2;2;2;4;2;2;2;4;2;4;4;2;4;3;2;2;11;2;1;1;1;10;160;;998;;1;1;10;10;10;2;5;9;4;10;9;7;6;3;10;6;8;7;10;10;2;2;1;1;1;2;2;11;;11;99;2;2;2;1;2;2;;;;;1;70;1;70;2;16;4;2;1;2500;1;2;998;;9;4;4;;7;;;1;121;;2;3;2;2;2;1;1;4;4;4;3
