A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
75;G015;2;1;29;2020;108.481.113.361.927;1;2;1;3;8;1945;10;10;10027;4;3;2;4;4;2;2;2;2;4;2;2;8;4;4;2;2;4;2;2;2;2;2;3;3;2;8;30;398;;998;;1;2;30;30;30;4;5;7;9;8;7;97;6;8;7;6;0;8;6;8;2;1;3;4;8;2;2;20;;20;99;2;2;2;2;;;;;4;3;1;14;1;51;;15;4;2;3;0;1;2;998;;9;4;3;;7;;;1;121;;2;4;2;5;2;1;1;4;4;4;3
76;G022;1;1;29;2020;0.832052522295433;1;2;2;29;3;1963;11;11;11323;4;4;3;2;2;4;2;4;2;2;4;4;4;4;4;2;2;4;2;2;2;3;5;2;3;2;2;60;600;;998;;2;2;91;10;10;1;2;5;0;5;5;3;0;0;5;0;0;0;3;0;2;5;3;1;2;2;1;10;;20;99;2;1;2;2;;;3;2;;;1;10;2;51;;16;1;2;4;2500;2;9;998;;9;4;3;;7;;;1;121;;4;4;2;5;2;1;1;4;4;4;3
77;G019;1;1;29;2020;0.832052522295433;1;2;2;16;9;1956;22;22;22001;2;3;2;2;4;4;4;4;2;4;2;4;2;4;4;2;2;2;2;3;2;3;5;2;4;4;2;20;210;;990;15 CARABALLO;1;1;10;10;10;4;4;5;2;5;5;8;4;3;6;6;5;5;7;4;2;2;2;10;2;2;3;20;;20;99;2;2;2;2;;;;;2;2;1;14;2;22;;64;1;2;6;0;1;1;1;;4;4;3;;7;;;1;121;;2;4;5;2;6;3;3;11;1;1;1
78;G011;2;1;29;2020;0.832052522295433;1;2;2;28;8;1962;25;25;25001;3;3;4;2;2;4;4;4;3;2;4;4;2;4;7;5;4;5;4;3;2;2;2;3;4;2;2;10;110;;990;404 ALVARO DELAGADO;1;2;10;10;10;2;3;5;4;6;5;4;98;3;8;4;3;4;7;9;2;2;2;10;2;2;2;10;;10;99;2;1;2;1;2;3;;;;;1;10;2;32;;64;1;2;3;0;1;1;990;JESUCRISTO DE LOS SANTOS DE LA VIRGEN MARIA ;5;2;3;;7;;;1;121;;3;4;1;5;6;3;3;7;2;2;1
79;G013;2;1;29;2020;0.894882409322849;1;2;2;20;4;1995;18;18;18001;4;4;4;2;2;4;2;2;2;2;2;2;4;2;4;5;1;4;2;2;2;1;1;1;4;4;2;30;350;;998;;1;1;30;30;30;4;5;0;0;10;10;5;98;10;0;0;0;10;0;0;1;1;2;9;2;2;2;20;;20;99;2;1;2;1;2;2;;;;;2;55;2;51;1;24;4;2;2;0;2;9;998;;9;4;3;;7;;;1;121;;7;2;2;5;4;2;1;6;3;4;3
80;G022;1;1;29;2020;0.832052522295433;1;2;2;16;7;1949;11;11;11530;4;4;2;4;4;2;4;4;2;2;2;2;4;2;2;4;2;2;5;2;2;2;3;3;4;4;2;20;210;;998;;1;1;10;20;10;2;5;10;0;8;10;9;4;0;8;10;9;0;8;10;1;3;1;1;2;2;2;20;;20;99;2;2;9;1;;;;;4;4;1;14;2;36;;16;1;2;5;0;1;2;998;;9;1;3;;7;;;1;121;;3;4;1;5;2;1;1;3;4;4;3
81;G019;1;1;29;2020;0.832052522295433;1;2;2;12;5;1933;10;10;10043;4;2;2;2;4;2;4;4;2;4;4;2;2;4;4;2;2;2;5;3;4;3;9;2;3;3;3;98;999;;997;;1;1;97;10;97;8;5;5;97;5;97;5;5;5;5;5;5;2;7;7;2;2;2;1;2;2;3;11;;11;99;2;2;2;2;;;4;3;;;1;14;2;30;;55;1;1;6;0;3;9;998;;9;5;3;;1;2;;1;121;;2;4;3;5;6;3;3;9;2;2;1
82;G024;1;1;29;2020;0.894882409322849;1;2;2;1;1;1986;22;22;22321;2;2;4;2;2;4;4;4;2;4;4;4;4;4;4;4;1;2;4;1;2;2;2;2;3;2;8;10;197;LACALLE POU Y BEATRIZ ARGIMON Y COLMAN 16904;990;904;3;1;10;10;10;4;4;7;5;9;10;10;7;5;8;6;4;6;9;8;2;2;2;1;2;2;3;11;;11;99;1;2;2;2;2;2;;;;;2;10;2;52;;25;1;2;3;9999998;1;2;998;;9;5;3;;7;;;1;121;;7;4;1;5;4;2;1;5;3;4;3
83;G026;2;1;29;2020;0.894882409322849;1;2;2;28;4;2000;10;10;10041;2;3;2;1;1;4;4;2;1;4;2;2;4;4;4;2;1;5;2;2;2;3;98;98;2;1;4;91;999;;991;;91;91;10;90;90;2;2;5;0;5;1;0;0;0;5;2;0;0;5;0;1;2;2;1;2;2;8;10;;10;99;2;1;9;2;;;3;3;;;2;52;2;55;1;26;4;2;6;9999997;3;9;998;;9;5;3;;7;;;1;121;;3;2;1;5;4;2;2;5;3;4;3
84;G017;2;1;29;2020;104.804.752.757.694;1;2;2;30;8;1980;27;27;27001;2;2;2;1;3;4;4;4;2;4;4;4;4;4;4;2;2;2;2;2;1;1;1;1;3;1;4;30;350;;990;609;1;2;30;30;30;5;4;4;4;10;10;10;6;8;0;0;0;7;0;0;2;1;2;3;2;2;3;30;;30;99;9;1;2;2;;;;;2;4;3;46;1;46;1;26;4;1;4;0;2;9;998;;9;4;3;;7;;;1;121;;3;2;3;4;4;2;2;7;2;2;1
85;G023;1;1;29;2020;108.481.113.361.927;1;2;1;6;12;1941;26;26;26001;2;1;2;1;2;4;2;1;2;4;4;2;2;1;5;1;4;4;5;3;1;2;98;2;4;2;3;98;999;;997;;2;1;10;97;97;4;4;5;3;8;7;10;5;4;6;5;5;4;5;5;2;96;9;;2;2;3;11;;21;99;2;2;2;1;;;4;3;;;1;14;1;31;;34;1;2;5;9999998;1;1;1;;5;2;3;;7;;;1;121;;2;4;2;5;4;2;1;6;3;4;3
86;G012;1;1;29;2020;0.832052522295433;1;2;2;1;9;1974;21;21;21798;2;4;2;1;4;2;4;1;2;4;4;4;2;4;5;2;2;2;2;2;2;3;2;2;4;3;4;74;740;;990;GONZALO MURIALDO;3;1;10;20;10;5;5;8;1;10;9;10;5;0;8;8;9;4;8;8;2;2;2;1;2;2;3;10;;10;99;2;2;2;2;;;;;4;1;1;94;2;94;1;23;1;2;3;0;1;1;1;;1;4;3;;7;;;1;121;;4;3;4;3;3;2;1;7;2;2;1
87;G013;2;1;29;2020;0.832052522295433;1;2;2;20;6;1948;10;10;10041;2;2;2;2;2;4;3;4;2;4;2;2;4;2;3;2;4;4;5;1;1;3;2;2;5;5;2;74;740;;998;;2;1;10;20;10;5;5;9;0;9;8;10;5;0;8;8;8;0;9;6;3;3;2;1;2;2;8;20;;20;99;2;2;9;9;4;2;;;;;2;10;2;51;;23;1;2;97;9999997;1;1;1;;3;4;3;;7;;;1;121;;2;4;2;5;3;2;1;5;3;4;3
88;G020;2;1;29;2020;136.642.050.352.914;1;2;1;31;1;1978;10;10;10041;2;2;2;1;4;4;4;4;4;4;4;4;1;4;4;1;1;2;1;1;1;2;3;3;4;1;4;20;230;;990;TALVI;2;2;30;30;30;5;5;6;0;4;6;1;2;8;2;7;0;6;2;5;1;3;3;4;2;2;3;10;;10;99;2;2;2;2;1;1;;;;;1;47;1;47;1;24;1;2;5;9999997;3;9;998;;9;5;8;;7;;;1;121;;2;2;3;4;4;2;1;7;2;2;1
